quarter,ford_tfp
1949,
1949.25,0.949669658354874
1949.5,0.126884524754046
1949.75,-1.13033039754291
1950,1.09936841185673
1950.25,0.001545127903469
1950.5,0.098635370119052
1950.75,-0.610338955517213
1951,-1.56586146878796
1951.25,-0.587264576688984
1951.5,2.18463474385381
1951.75,-0.149335027338071
1952,-1.16621589274081
1952.25,1.06554991203247
1952.5,-1.99005942739398
1952.75,0.623684975020737
1953,1.86119861298451
1953.25,0.465091400271562
1953.5,-0.655966370207898
1953.75,-0.60215228089257
1954,-1.09526435112664
1954.25,0.63737814926798
1954.5,-0.064577011382391
1954.75,0.042058599394233
1955,0.1191625091968
1955.25,0.25413965014086
1955.5,-0.404222320442064
1955.75,-2.31373288488998
1956,-1.11239583815414
1956.25,0.005749236326888
1956.5,-1.7851249324577
1956.75,1.53435666126818
1957,0.222231555735362
1957.25,-1.53885203031407
1957.5,-0.127765274550219
1957.75,2.0134333079653
1958,-1.39125237064687
1958.25,0.727799304911241
1958.5,-0.796334258823926
1958.75,-1.66301508980309
1959,0.144520948726983
1959.25,0.031716258783582
1959.5,2.09383130450159
1959.75,-0.630145437683367
1960,1.25862677358709
1960.25,-1.24278728108331
1960.5,-0.953927709070136
1960.75,0.076005434900793
1961,-1.05869721012283
1961.25,1.78546889539297
1961.5,-0.680549076087853
1961.75,0.359194536536681
1962,-0.388394758914177
1962.25,0.433289912401306
1962.5,1.10995459528069
1962.75,1.34189353531684
1963,0.02674460921522
1963.25,-0.031140854230798
1963.5,1.3322144768049
1963.75,-0.241565839982054
1964,1.42327436842889
1964.25,0.203115291155331
1964.5,0.748530765979888
1964.75,-1.08987150621596
1965,-0.153253898574577
1965.25,0.704711612211068
1965.5,1.95594337615655
1965.75,2.18464601875754
1966,0.557257417462525
1966.25,-0.782833952231669
1966.5,-0.331857337532296
1966.75,0.089123090250378
1967,0.159284798664644
1967.25,0.288313241662513
1967.5,-0.833062904260439
1967.75,-1.02718971111879
1968,1.79346299785908
1968.25,0.920079316790106
1968.5,0.240471438939189
1968.75,-0.554830271333645
1969,-1.15815691542768
1969.25,-0.429879409995891
1969.5,-0.664974974140294
1969.75,-0.444905093358083
1970,0.419169894264347
1970.25,0.087624584585883
1970.5,1.4438503869057
1970.75,-1.03111746776782
1971,0.759890325935782
1971.25,-0.440181890418864
1971.5,0.44064993431216
1971.75,0.015710982847627
1972,-0.777038741582678
1972.25,1.53411294653122
1972.5,0.268114845281031
1972.75,1.50744491273232
1973,1.77327822720728
1973.25,-0.53450465244885
1973.5,-1.91167960735509
1973.75,-0.240632270580798
1974,-1.56072532284375
1974.25,-0.378205247151521
1974.5,-1.28363114667119
1974.75,-0.932477576207514
1975,2.58496084538461
1975.25,0.988714550193243
1975.5,-0.438623440169098
1975.75,-0.910530100214388
1976,-0.127878484132329
1976.25,0.462793856989172
1976.5,0.139011374225437
1976.75,0.113195827420069
1977,-0.086380842241426
1977.25,-0.888632815780582
1977.5,0.173182838898064
1977.75,-1.53290433614899
1978,-0.411218409766428
1978.25,1.22602074566349
1978.5,-0.175652091713543
1978.75,-0.465357920115531
1979,-0.324190500983398
1979.25,-0.23969985028585
1979.5,-1.1767697402231
1979.75,-0.420773528422836
1980,0.36869045601043
1980.25,-0.889087876134611
1980.5,-0.419264653010494
1980.75,-0.963455970968967
1981,0.121863075889548
1981.25,-0.543256222002646
1981.5,1.28905796167344
1981.75,-2.75696745970122
1982,-0.102251671461075
1982.25,-0.56823890029311
1982.5,-0.790641219022926
1982.75,2.19292701052277
1983,0.421876252313231
1983.25,0.192779614572888
1983.5,0.247813436262805
1983.75,0.405589929947949
1984,-0.451360176046416
1984.25,0.35939619495907
1984.5,0.91948146209211
1984.75,1.04241215781113
1985,1.21393578405655
1985.25,-0.223209028571038
1985.5,1.86317250370499
1985.75,-0.431150703680294
1986,1.31590750593758
1986.25,0.194293583947802
1986.5,1.23500414551192
1986.75,-0.80226201474737
1987,-2.16455747704656
1987.25,0.702022395529482
1987.5,0.867592292501522
1987.75,-1.13409898243343
1988,0.739884393782495
1988.25,-0.570814671914706
1988.5,0.050191353173181
1988.75,-0.114162377454214
1989,-0.960380636469988
1989.25,-0.187172160157733
1989.5,0.723137967987575
1989.75,-1.01289397960624
1990,0.724119819157168
1990.25,0.876928824677957
1990.5,-0.586486183019333
1990.75,-0.858770695053599
1991,-0.621355140785445
1991.25,0.289863015175403
1991.5,-1.11229376655131
1991.75,-1.02482747721279
1992,2.06414640676499
1992.25,-0.349924685833513
1992.5,0.943285138516422
1992.75,0.119447408088803
1993,-1.47525203260473
1993.25,-1.45155853731435
1993.5,0.129214761928652
1993.75,-0.214409193247398
1994,-0.433712052796085
1994.25,-1.31851157033574
1994.5,-0.575720730907908
1994.75,-0.236467890957941
1995,-1.35139163502535
1995.25,-0.332544862301981
1995.5,-0.263968643982199
1995.75,-0.119461901277653
1996,1.0219865652334
1996.25,0.095116804963943
1996.5,-1.06827826220531
1996.75,-0.334290423860613
1997,-0.718903612788322
1997.25,0.23690711486473
1997.5,0.166532438396164
1997.75,0.092525530671783
1998,-0.573280917536282
1998.25,0.800079493999844
1998.5,1.2248483768677
1998.75,0.230135816717898
1999,0.446284077926879
1999.25,-0.112658719533236
1999.5,1.12237393129582
1999.75,1.28915167785942
2000,-0.701636400155864
2000.25,1.55235430593451
2000.5,0.221794338386918
2000.75,1.04758253901044
2001,-0.094792244183884
2001.25,0.927142422432662
2001.5,-0.575752928173823
2001.75,1.40108425262512
2002,0.986519590666562
2002.25,-1.07702970523665
2002.5,0.243729261513304
2002.75,-0.951220219630079
2003,0.725562358547019
2003.25,1.21257832334412
2003.5,1.06909684868242
2003.75,-0.308052541830596
2004,-0.407980815117513
2004.25,-0.230395638017007
2004.5,-0.0937184757538
2004.75,0.04783253786472
2005,0.193596388849488
2005.25,-0.512700626011778
2005.5,0.178801997697327
2005.75,-0.694042805477856
2006,-0.133359856934521
2006.25,-0.363159778892327
2006.5,-1.1706271356108
2006.75,0.241492567007281
2007,-0.498388606677549
2007.25,-0.154019668241101
2007.5,0.961002080512654
2007.75,0.11885310077353
2008,-0.693021612236518
2008.25,0.12477546834256
2008.5,-0.596058174954242
2008.75,-1.51290427771355
2009,0.554618897261543
2009.25,1.01032661863864
2009.5,0.566699227602137
2009.75,-0.386037565765563
2010,
2010.25,
2010.5,
2010.75,
2011,
2011.25,
2011.5,
2011.75,
2012,
2012.25,
2012.5,
2012.75,
2013,
2013.25,
2013.5,
2013.75,
2014,
2014.25,
2014.5,
2014.75,
2015,
2015.25,
2015.5,
